AGR_ID|open_rows|open_amt
329250|1152|101326.32
128980|720|100702.80
132023|36|100377.00
66900|504|100204.80
110134|660|99966.90
1088558|52|99641.44
34228|60|99253.74
249258|576|99184.08
163453|693|99156.09
139815|27|98667.00
95915|1302|98330.82
243753|1296|98118.72
267638|60|97841.64
68403|1224|97356.60
502080|33|96671.43
184162|36|96027.06
356960|1080|95549.40
84372|54|95382.00
97564|966|95327.40
271162|864|95066.28
264261|528|94815.60
1124405|54|94584.27
393468|54|94053.84
355948|63|93942.00
207022|690|93889.20
213358|528|93782.64
122784|726|93705.81
1965|96|92883.48
160063|570|92622.90
289261|11|92301.00
276586|384|92187.36
268489|528|91949.04
276530|660|91928.40
213996|1008|91557.00
159504|36|91314.00
365561|576|90802.80
99929|60|90746.28
290329|864|90583.20
83325|475|90493.00
18357|756|90383.40
191712|480|90102.96
105661|1344|90013.14
526377|189|89921.58
128816|690|88784.10
396242|36|88488.00
72259|750|87792.00
242653|972|87300.72
120576|6|86820.00
253362|504|86818.08
336314|24|86748.00
103631|24|86658.00
271713|60|85620.00
1100008|30|85614.74
238705|36|85206.00
58477|48|84966.00
1105373|18|84722.52
647456|6|84360.00
34526|24|84240.00
94713|27|84042.00
431204|60|83628.00
121129|570|83369.40
177457|60|83311.92
91628|675|83252.88
304401|126|82772.88
91652|30|82500.00
63539|690|82324.20
132130|528|82297.92
118178|693|82140.30
163981|27|82125.00
207512|24|82008.00
142616|24|82002.00
359554|576|81815.28
104941|18|81480.00
109284|660|81406.50
300412|36|81198.00
390956|576|80916.72
86022|612|80879.20
231254|513|80844.21
95898|6|80658.00
67768|660|80442.90
104075|726|80393.28
51389|528|80242.32
164412|24|80040.00
199394|427|79737.37
163694|72|79187.34
157098|864|79185.60
310625|480|78905.28
162486|198|78887.70
510413|186|78826.02
309516|660|78683.40
139686|792|78677.94
267591|66|78630.00
336834|504|78618.96
211441|3|78529.35
100641|480|78139.92
101306|27|78030.00
221099|24|77670.00
18356|936|77650.56
438142|30|77646.00
86543|759|77203.83
67931|24|76962.00
41033|1116|76511.16
39549|567|76417.83
860075|26|76161.84
494034|40|75911.84
55013|648|75816.27
153303|432|75455.04
88552|27|75411.00
275173|504|75352.08
310261|30|75246.00
212008|432|75186.24
1100270|28|75033.24
86664|504|74917.68
124306|45|74889.00
261461|528|74832.24
139021|660|74821.20
165243|18|74790.00
157713|24|74124.00
242192|30|74046.00
101307|27|73944.00
7856|528|73779.36
92490|42|73710.00
5309|336|73314.36
9585|576|73268.88
91629|600|72955.92
304871|480|72726.48
301998|528|72528.39
124724|24|72414.00
270668|570|72350.70
139833|12|72237.00
165976|570|72040.80
385702|24|72024.00
113760|390|71777.40
128316|18|71639.04
228383|36|71613.00
36627|48|71532.00
479719|18|71304.00
161597|3|71270.85
930595|12|71130.24
107088|6|71022.00
290696|480|70342.56
109231|1287|70305.69
128586|18|70248.00
234110|30|70230.00
128264|546|70224.57
86243|6|70152.00
512050|30|70110.00
120210|504|70095.60
251802|726|69998.61
7637|552|69987.60
1015591|28|69852.96
76985|60|69846.00
43139|675|69687.00
69571|42|69552.00
105222|18|69507.00
347050|528|69447.12
153799|24|69426.00
94215|30|68838.00
102341|504|68799.60
97746|18|68742.00
