MAIN_LREF	PAID_AMT	ABYS_AGREEMENT_ID	CLOSED
25853331	380	197168	1
31078567	10	197168	1
31319919	15	197168	1
32926055	355	197168	1
68668694	358	197168	1
17111116	95	197168	1
28077379	20	197168	1
21077498	20	197168	1
28350953	135	197168	1
28544306	325	197168	1
30318369	20	197168	1
33756749	15	197168	1
27104106	20	197168	1
75762577	387	197168	1
85903313	339	197168	1
95934245	67	197168	1
102712189	670	197168	1
103493529	663	197168	1
132367385	187	197168	1
137368170	3772	197168	1
142382641	248	197168	1
117280400	627	197168	1
15030009	25	197168	1
15193520	110	197168	1
15876450	280	197168	1
92309497	1.77	197168	1
92309509	1.77	197168	1
92309481	1.77	197168	1
92309487	1.77	197168	1
92309507	1.77	197168	1
468800	246	197168	1
20227726	405	197168	1
25534581	50	197168	1
27393939	20	197168	1
17034950	130	197168	1
20770139	35	197168	1
29848976	130	197168	1
19115898	9.9	197168	1
30257868	20	197168	1
32276365	520	197168	1
23519962	145	197168	1
28970899	495	197168	1
74376057	321	197168	1
88100361	15	197168	1
98931828	29	197168	1
95260750	188	197168	1
101228947	667	197168	1
134685399	323	197168	1
141543556	316	197168	1
151205685	3964	197168	1
15683689	395	197168	1
15333439	235	197168	1
92309510	1.77	197168	1
92309526	1.77	197168	1
92309476	1.77	197168	1
92309486	1.77	197168	1
92309528	1.77	197168	1
92309535	1.77	197168	1
92309538	1.77	197168	1
92309539	1.77	197168	1
76362153	42	197168	1
18180954	290	197168	1
31810648	40	197168	1
19229440	30	197168	1
20190743	565	197168	1
22611802	500	197168	1
17424368	350	197168	1
24550658	15	197168	1
64818280	15	197168	1
67421689	615	197168	1
21472575	20	197168	1
21626273	25	197168	1
32538207	510	197168	1
72982761	12	197168	1
77819638	62	197168	1
89525789	24	197168	1
87397614	31	197168	1
93829391	377	197168	1
100459636	426	197168	1
104912440	112	197168	1
105695440	98	197168	1
149349692	4422	197168	1
150323602	5113	197168	1
114850744	177	197168	1
121335613	1626	197168	1
14852598	25	197168	1
92309525	1.77	197168	1
92309468	3.78	197168	1
92309482	1.77	197168	1
92309485	1.77	197168	1
92309527	1.77	197168	1
21493020	25	197168	1
16638762	15	197168	1
19970087	425	197168	1
30926441	15	197168	1
22416150	145	197168	1
69297657	374	197168	1
17855023	330	197168	1
81573650	19	197168	1
133123516	191	197168	1
139027518	6539	197168	1
140727243	1581	197168	1
112538887	747	197168	1
152086341	731	197168	1
119640357	1804	197168	1
16194265	85	197168	1
92309500	1.77	197168	1
92309517	1.77	197168	1
92309488	1.77	197168	1
92309493	1.77	197168	1
92309501	1.77	197168	1
92309547	1.77	197168	1
78295649	45	197168	1
19205823	20	197168	1
28383041	45	197168	1
21904363	20	197168	1
22138057	25	197168	1
24002032	20	197168	1
16885098	25	197168	1
18746477	20	197168	1
26777924	20	197168	1
65444724	10	197168	1
67993065	466	197168	1
73678924	68	197168	1
88830962	21	197168	1
79214745	18	197168	1
90953225	82	197168	1
82302492	267	197168	1
91679380	480	197168	1
101965969	644	197168	1
123745231	304.17	197168	1
124936983	110	197168	1
104226580	231	197168	1
133886188	179	197168	1
107841891	343	197168	1
109425605	662	197168	1
144022195	244	197168	1
113322123	432	197168	1
16531261	55	197168	1
14698308	30	197168	1
15532829	250	197168	1
92309521	1.77	197168	1
92309503	1.77	197168	1
92309529	1.77	197168	1
122868581	243.47	197168	1
74759654	140	197168	1
27537193	15	197168	1
29413665	460	197168	1
33124498	275	197168	1
18849256	15	197168	1
20694535	70	197168	1
22636570	295	197168	1
24347929	25	197168	1
26044775	340	197168	1
31518726	150	197168	1
63947404	35	197168	1
19444984	300.1	197168	1
26580179	105	197168	1
17776829	390	197168	1
23181654	320	197168	1
23407379	275	197168	1
28667150	580	197168	1
66128022	225	197168	1
72340926	16	197168	1
75074556	251	197168	1
77128033	300	197168	1
85180210	367	197168	1
78529430	1	197168	1
86634880	94	197168	1
83011563	444	197168	1
94545194	598	197168	1
96746116	32	197168	1
99705474	236	197168	1
125993012	552	197168	1
129986461	1051	197168	1
131588285	317	197168	1
106310273	53	197168	1
108633830	511	197168	1
139890369	2582	197168	1
147588523	5762	197168	1
114044960	138	197168	1
118040451	908	197168	1
118804401	1436	197168	1
120468886	2183	197168	1
16354161	25	197168	1
92309498	1.77	197168	1
92309524	1.77	197168	1
92309473	1.77	197168	1
92309479	1.77	197168	1
92309483	1.77	197168	1
92309531	1.77	197168	1
18380133	115	197168	1
18485369	20	197168	1
23715324	25	197168	1
20515715	180	197168	1
24646736	20	197168	1
33677718	10	197168	1
17709010	285	197168	1
19652037	335	197168	1
25160450	340	197168	1
69972395	76	197168	1
70642390	17	197168	1
76442207	324	197168	1
80175949	28	197168	1
80843586	28	197168	1
93121943	1026	197168	1
125482642	203	197168	1
126748999	1623	197168	1
128352010	4198	197168	1
130798337	942	197168	1
136420759	5227	197168	1
111016285	966	197168	1
146685704	3571	197168	1
148499515	4826	197168	1
116352161	149	197168	1
16027508	225	197168	1
92309514	1.77	197168	1
92309477	1.77	197168	1
92309492	1.77	197168	1
92309494	1.77	197168	1
92309496	1.77	197168	1
92309506	1.77	197168	1
26235680	240	197168	1
29684250	375	197168	1
66772613	389	197168	1
31997813	265	197168	1
25064724	440	197168	1
71283487	19	197168	1
71728612	10	197168	1
90222938	23	197168	1
83734437	637	197168	1
84463715	441	197168	1
98195550	63	197168	1
129190688	1895	197168	1
110275254	1135	197168	1
143222716	267	197168	1
144923960	1231	197168	1
111782800	1089	197168	1
145833573	2251	197168	1
115573544	128	197168	1
92309516	1.77	197168	1
92309523	1.77	197168	1
92309490	1.77	197168	1
92309504	1.77	197168	1
92309505	1.77	197168	1
92309530	1.77	197168	1
124373195	14.64	197168	1
21781791	150	197168	1
28234481	0	197168	1
31980616	0	197168	1
122536227	0	197168	1
14341998	0	197168	1
76362164	0	197168	1
122868574	0	197168	1
14507777	0	197168	1
83049497	0	197168	1
78295700	0	197168	1
