LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	FITNO	BN_TYPE	AMOUNT	PERIOD	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	OV_KIND
51528373	1	TAHSILAT	2010-12-22 00:00:00	2010-12-22 00:00:00	101	251522	95	160	95	\N	0	197168	91	0	0	95	0	95	1	136283	1	95	201012	2010-12-22 00:00:00	10001	51528373	10145323	33	197168	17111116	TAH_INV
49332052	1	TAHSILAT	2011-08-16 00:00:00	2011-08-16 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201108	2011-08-16 00:00:00	10001	49332052	11778475	33	197168	18746477	TAH_INV
58944343	1	TAHSILAT	2011-09-23 00:00:00	2011-09-23 00:00:00	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201109	2011-09-23 00:00:00	10001	58944343	11881154	22	197168	18849256	TAH_INV
58944443	1	TAHSILAT	2011-09-23 00:00:00	2011-09-23 00:00:00	101	0	15	160	15	\N	0	197168	91	0	0	15	0	15	1	\N	\N	15	\N	2011-09-23 00:00:00	211	58944443	11881154	5	197168	\N	TAH_INV
41640821	1	TAHSILAT	2012-04-30 00:00:00	2012-04-30 00:00:00	101	251522	180	160	180	\N	0	197168	91	0	0	180	0	180	1	136283	1	180	201204	2012-04-30 00:00:00	10001	41640821	13545776	33	197168	20515715	TAH_INV
41723051	1	TAHSILAT	2012-05-22 00:00:00	2012-05-22 00:00:00	101	251522	70	160	70	\N	0	197168	91	0	0	70	0	70	1	136283	1	70	201205	2012-05-22 00:00:00	10001	41723051	13724458	5	197168	20694535	TAH_INV
48623211	1	TAHSILAT	2012-06-18 00:00:00	2012-06-18 00:00:00	101	251522	35	160	35	\N	0	197168	91	0	0	35	0	35	1	136283	1	35	201206	2012-06-18 00:00:00	10001	48623211	13800010	33	197168	20770139	TAH_INV
42333918	1	TAHSILAT	2012-12-19 00:00:00	2012-12-19 00:00:00	101	251522	145	160	145	\N	0	197168	91	0	0	145	0	145	1	136283	1	145	201212	2012-12-19 00:00:00	10001	42333918	15444569	22	197168	22416150	TAH_INV
42596505	1	TAHSILAT	2013-02-25 00:00:00	2013-02-25 00:00:00	101	251522	500	160	500	\N	0	197168	91	0	0	500	0	500	1	136283	1	500	201301	2013-02-25 00:00:00	10001	42596505	15640062	22	197168	22611802	TAH_INV
49395260	1	TAHSILAT	2013-03-13 00:00:00	2013-03-13 00:00:00	101	251522	295	160	295	\N	0	197168	91	0	0	295	0	295	1	136283	1	295	201302	2013-03-13 00:00:00	10001	49395260	15664805	22	197168	22636570	TAH_INV
54959127	1	TAHSILAT	2013-09-16 00:00:00	2013-09-16 00:00:00	101	251522	25	160	25	\N	0	197168	91	0	0	25	0	25	1	136283	1	25	201308	2013-09-16 00:00:00	10001	54959127	17374918	33	197168	24347929	TAH_INV
44371927	1	TAHSILAT	2014-04-19 00:00:00	2014-04-19 00:00:00	101	251522	340	160	340	\N	0	197168	91	0	0	340	0	340	1	136283	1	340	201403	2014-04-19 00:00:00	10001	44371927	19070407	32	197168	26044775	TAH_INV
59051045	1	TAHSILAT	2014-04-25 00:00:00	2014-04-25 00:00:00	101	251522	240	160	240	\N	0	197168	91	0	0	240	0	240	1	136283	1	240	201404	2014-04-25 00:00:00	10001	59051045	19261180	32	197168	26235680	TAH_INV
45149432	1	TAHSILAT	2014-11-20 00:00:00	2014-11-20 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201410	2014-11-20 00:00:00	10001	45149432	21101581	32	197168	28077379	TAH_INV
58360701	1	TAHSILAT	2015-05-26 00:00:00	2015-05-26 00:00:00	101	251522	375	160	375	\N	0	197168	91	0	0	375	0	375	1	136283	1	375	201504	2015-05-26 00:00:00	10001	58360701	22707632	32	197168	29684250	TAH_INV
50233925	1	TAHSILAT	2015-06-22 00:00:00	2015-06-22 00:00:00	101	251522	130	160	130	\N	0	197168	91	0	0	130	0	130	1	136283	1	130	201505	2015-06-22 00:00:00	10001	50233925	22872262	32	197168	29848976	TAH_INV
46739567	1	TAHSILAT	2015-12-17 00:00:00	2015-12-17 00:00:00	101	251522	150	160	150	\N	0	197168	91	0	0	150	0	150	1	136283	1	150	201511	2015-12-17 00:00:00	10001	46739567	24540900	32	197168	31518726	TAH_INV
63947415	1	TAHSILAT	2016-08-15 15:53:13	2016-08-15 15:53:13	101	251522	13.51	160	13.51	\N	0	197168	91	0	0	13.51	0	13.51	1	136283	1	13.51	201608	2016-08-15 15:53:13	10800	63947415	27888715	6	197168	63947404	TAH_INV
