LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER	ALLOC_RN	PAY_FULL_AMT	ALLOC_SRC
42073278	42073278	101	1	21472575	174	113	103	0	2012-08-14 00:00:00	20	0	0	0	251522	42073278	14501773	197168	21472575	22	PAY	\N	\N	551	793220	1	20	INCOME
42175490	42175490	101	1	21904363	174	113	103	0	2012-10-15 00:00:00	20	0	0	0	251522	42175490	14933170	197168	21904363	22	PAY	\N	\N	551	889029	1	20	INCOME
42175491	42175491	101	1	20190743	174	113	103	0	2012-10-15 00:00:00	565	0	0	0	251522	42175491	13221074	197168	20190743	22	PAY	\N	\N	551	894046	1	565	INCOME
42333918	42333918	101	1	22416150	174	113	103	0	2012-12-19 00:00:00	145	0	0	0	251522	42333918	15444569	197168	22416150	22	PAY	\N	\N	551	437868	1	145	INCOME
42343634	42343634	101	1	22138057	174	113	103	0	2012-11-21 00:00:00	25	0	0	0	251522	42343634	15166687	197168	22138057	22	PAY	\N	\N	551	68351	1	25	INCOME
42385084	42385084	101	1	21426018	32	113	103	0	2013-01-16 00:00:00	1.03	0	0	0	306082	42385084	14455279	276503	21426018	4	PAY	\N	\N	70	85760	1	1.1	INCOME
1350000131	42385084	101	1	42385083	32	113	103	0	2013-01-16 00:00:00	0.07	0	0	0	306082	42385084	14455279	276503	42385083	4	PAY	\N	\N	70	85760	2	1.1	INCOME
42424368	42424368	101	1	22434925	174	113	103	0	2013-01-15 00:00:00	150	0	0	0	6879	42424368	15463330	5727	22434925	22	PAY	\N	\N	551	328988	1	150	INCOME
42474063	42474063	101	1	21903722	174	113	103	0	2012-11-21 00:00:00	15	0	0	0	6879	42474063	14932529	5727	21903722	43	PAY	\N	\N	551	8008	1	15	INCOME
42578130	42578130	101	1	22895424	174	113	103	0	2013-03-15 00:00:00	7810	0	0	0	48214	42578130	15923467	2221	22895424	32	PAY	\N	\N	544	420304440	1	7810	INCOME
42578131	42578131	101	1	22906183	174	113	103	0	2013-03-15 00:00:00	195	0	0	0	48214	42578131	15934219	2221	22906183	32	PAY	\N	\N	544	420304472	1	195	INCOME
42596505	42596505	101	1	22611802	174	113	103	0	2013-02-25 00:00:00	500	0	0	0	251522	42596505	15640062	197168	22611802	22	PAY	\N	\N	551	30322101	1	500	INCOME
42711348	42711348	101	1	22976660	174	113	103	0	2013-04-08 00:00:00	150	0	0	0	6879	42711348	16004651	5727	22976660	7	PAY	\N	\N	530	20129147	1	150	INCOME
42715924	42715924	101	1	22519405	174	113	103	0	2013-02-15 00:00:00	230	0	0	0	6879	42715924	15547741	5727	22519405	22	PAY	\N	\N	551	22014501	1	230	INCOME
42989908	42989908	101	1	23260374	174	113	103	0	2013-06-19 00:00:00	105	0	0	0	6879	42989908	16288150	5727	23260374	22	PAY	\N	\N	551	90061401	1	105	INCOME
43053744	43053744	101	1	23342689	174	113	103	0	2013-07-09 00:00:00	45	0	0	0	48214	43053744	16370414	2221	23342689	32	PAY	\N	\N	544	455399269	1	45	INCOME
43066577	43066577	101	1	23376350	174	113	103	0	2013-07-02 00:00:00	2050	0	0	0	48214	43066577	16404055	2221	23376350	32	PAY	\N	\N	544	453375747	1	2050	INCOME
43083813	43083813	101	1	23519962	174	113	103	0	2013-07-16 00:00:00	145	0	0	0	251522	43083813	16547588	197168	23519962	32	PAY	\N	\N	541	23156	1	145	INCOME
43116139	43116139	101	1	23715324	174	113	103	0	2013-06-18 00:00:00	25	0	0	0	251522	43116139	16742819	197168	23715324	32	PAY	\N	\N	556	201306180386386	1	25	INCOME
43458998	43458998	101	1	24215190	174	113	103	0	2013-10-21 00:00:00	5	0	0	0	6879	43458998	17242301	5727	24215190	22	PAY	\N	\N	551	38799202	1	5	INCOME
43458999	43458999	101	1	24637995	174	113	103	0	2013-10-21 00:00:00	10	0	0	0	6879	43458999	17664763	5727	24637995	22	PAY	\N	\N	551	38799201	1	10	INCOME
43554107	43554107	101	1	25562930	174	113	103	0	2013-12-10 00:00:00	2520	0	0	0	48214	43554107	18588966	2221	25562930	32	PAY	\N	\N	544	501676573	1	2520	INCOME
43582254	43582254	101	1	24977311	174	113	103	0	2014-01-14 00:00:00	7410	0	0	0	48214	43582254	18003826	2221	24977311	32	PAY	\N	\N	544	512343198	1	7410	INCOME
43696621	43696621	101	1	25455661	174	113	103	0	2013-12-31 00:00:00	70	0	0	0	6879	43696621	18481796	5727	25455661	33	PAY	\N	\N	538	231132442232604	1	70	INCOME
43820417	43820417	101	1	25534581	174	113	103	0	2013-12-05 00:00:00	50	0	0	0	251522	43820417	18560640	197168	25534581	32	PAY	\N	\N	541	15116	1	50	INCOME
44081513	44081513	101	1	25064724	174	113	103	0	2014-01-24 00:00:00	440	0	0	0	251522	44081513	18091151	197168	25064724	33	PAY	\N	\N	531	240236029999	1	440	INCOME
44087606	44087606	101	1	25020790	174	113	103	0	2014-02-03 00:00:00	55	0	0	0	6879	44087606	18047266	5727	25020790	33	PAY	\N	\N	538	203084840037262	1	55	INCOME
44087607	44087607	101	1	24903955	174	113	103	0	2014-02-03 00:00:00	185	0	0	0	6879	44087607	17930518	5727	24903955	33	PAY	\N	\N	538	203084911060550	1	185	INCOME
44136332	44136332	101	1	26059951	174	113	103	0	2014-05-15 00:00:00	115	0	0	0	6879	44136332	19085569	5727	26059951	32	PAY	\N	\N	530	2014000017869688	1	115	INCOME
44136336	44136336	101	1	26259114	174	113	103	0	2014-05-15 00:00:00	40	0	0	0	6879	44136336	19284599	5727	26259114	32	PAY	\N	\N	530	2014000017869709	1	40	INCOME
44149403	44149403	101	1	25238644	174	113	103	0	2014-01-16 00:00:00	185	0	0	0	6879	44149403	18264954	5727	25238644	33	PAY	\N	\N	538	116090441695215	1	185	INCOME
44198534	44198534	101	1	24948179	174	113	103	0	2014-02-25 00:00:00	7875	0	0	0	48214	44198534	17974711	2221	24948179	32	PAY	\N	\N	544	526464451	1	7875	INCOME
44235204	44235204	101	1	26680945	174	113	103	0	2014-06-02 00:00:00	765	0	0	0	48214	44235204	19706171	2221	26680945	32	PAY	\N	\N	544	558296109	1	765	INCOME
44371927	44371927	101	1	26044775	174	113	103	0	2014-04-19 00:00:00	340	0	0	0	251522	44371927	19070407	197168	26044775	32	PAY	\N	\N	541	12902	1	340	INCOME
44398479	44398479	101	1	25837602	174	113	103	0	2014-03-17 00:00:00	170	0	0	0	6879	44398479	18863381	5727	25837602	33	PAY	\N	\N	538	317112915936151	1	170	INCOME
44481994	44481994	101	1	27237411	174	113	103	0	2014-07-25 00:00:00	10	0	0	0	6879	44481994	20262264	5727	27237411	32	PAY	\N	\N	530	2014000059835814	1	10	INCOME
44525016	44525016	101	1	26777924	174	113	103	0	2014-06-21 00:00:00	20	0	0	0	251522	44525016	19803104	197168	26777924	32	PAY	\N	\N	528	400159	1	20	INCOME
44705806	44705806	101	1	26715187	174	113	103	0	2014-07-18 00:00:00	25	0	0	0	6879	44705806	19740396	5727	26715187	32	PAY	\N	\N	544	574800884	1	25	INCOME
